"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Tonga,106759,"0",11769,"91707",12,0.0,,11.0239,85.90095448627282,0.1020
Trinidad and Tobago,1403374,"651378",162945,"1493482",3943,46.415139513771805,25.01542882934333,11.6109,106.4208115584299,2.4198
Tunisia,11935764,"4632454",1042935,"9977626",28641,38.81154151506347,22.513661225777955,8.7379,83.59436396363064,2.7462
Turkey,85042736,"163164533",15072747,"145238332",98965,191.8618105137163,9.237759409393217,17.7237,170.78276032887746,0.6566
Turkmenistan,6117933,"0",,"7140000",,0.0,,,116.70608357430525,
Turks and Caicos Islands,39226,"0",6148,"69465",36,0.0,,15.6733,177.0891755468312,0.5856
Tuvalu,11925,"0",,"8289",,0.0,,,69.50943396226415,
Uganda,47123533,"2120320",165700,"990902",3602,4.499492854239091,7.814858134621189,0.3516,2.1027752736621,2.1738
Ukraine,43466822,"13377389",5040518,"31551877",112459,30.776091705071053,37.67938571570282,11.5962,72.58841467637086,2.2311
United Arab Emirates,9991083,"163118743",911514,"20199458",2305,1632.6432579931525,0.5588039628284777,9.1233,202.1748593220575,0.2529
United Kingdom,68207114,"502482746",22415389,"140563394",179042,736.7013739945074,4.460927102161634,32.8637,206.0831865720048,0.7987
United States,332915074,"899794825",84882287,"589197635",1008857,270.2775858686411,9.433515801782923,25.4967,176.98136282047716,1.1885
United States Virgin Islands,104218,"114223",,"0",,109.60006908595443,,,0.0,
Uruguay,3485152,"6086630",925777,"8421547",7238,174.6446066053934,15.210009479794238,26.5635,241.64073762062603,0.7818
Uzbekistan,33935765,"0",239135,"15127072",1637,0.0,,0.7047,44.575603349445636,0.6846
Vanuatu,314464,"11989",10061,"96536",14,3.8125190800854787,83.91859204270581,3.1994,30.698585529663173,0.1392
Vatican,812,"0",29,"0",,0.0,,3.5714,0.0,
Venezuela,28704947,"0",523937,"98000",5722,0.0,,1.8252,0.34140456695495724,1.0921
Vietnam,98168829,"85818376",10726045,"134323073",43081,87.41917049861112,12.498541104995976,10.9261,136.82863936372308,0.4016
Wallis and Futuna,11094,"0",454,"9902",7,0.0,,4.0923,89.25545339823327,1.5419
Western Sahara,611872,"3943",,"0",,0.6444158255321375,,,0.0,
Yemen,30490639,"336937",11822,"838621",2149,1.1050506353769758,3.5086677924953333,0.0388,2.7504212030453017,18.1780
Zambia,18920657,"3390045",322207,"2079999",3988,17.917163235927802,9.504505102439644,1.7029,10.993270476812723,1.2377
Zimbabwe,15092171,"1869683",253508,"10542225",5513,12.388429736185735,13.558876023368668,1.6797,69.85227638886413,2.1747
